# FVE Vsenory, Vaclava Krena 140 - profil obzoru okoli
# WGS-84 49.9335 N 14.3100 E, okap 199.59 m n.m.
# Zdroj: fotogrammetricky model z dronu (WebODM), vyskova mapa
#   s krokem 0.25 m, ray-marching z teziste pole panelu.
# VLASTNI DUM JE VYMASKOVAN - jsou zde jen prekazky v okoli.
#   Stin vlastnich kominu a hrebene doplnte z kotovaneho pudorysu.
# azimut: 0 = sever, 90 = vychod (po smeru hodinovych rucicek)
# hodnoty: uhel nad vodorovnou rovinou [deg], pod nimz je smer zaclonen
azimut_deg,obzor_jih_deg,obzor_zapad_deg,obzor_vychod_deg
0.0,7.98,1.60,1.60
2.0,8.53,1.60,1.60
4.0,6.83,1.60,1.60
6.0,1.60,1.60,1.60
8.0,1.60,8.15,1.60
10.0,1.60,8.52,1.60
12.0,1.60,8.51,1.60
14.0,1.60,8.47,1.60
16.0,1.60,1.60,1.60
18.0,1.60,1.60,1.60
20.0,2.10,2.10,2.10
22.0,2.10,2.10,2.10
24.0,2.10,2.10,2.10
26.0,2.10,2.10,2.10
28.0,2.10,2.10,6.25
30.0,3.49,2.10,2.98
32.0,25.96,2.10,32.90
34.0,15.21,2.10,32.44
36.0,14.22,2.10,21.51
38.0,9.32,2.10,20.49
40.0,4.85,2.10,16.75
42.0,6.53,2.10,11.87
44.0,7.62,23.99,8.42
46.0,6.51,23.38,9.69
48.0,6.64,13.64,9.62
50.0,5.00,10.46,9.74
52.0,5.04,7.22,7.19
54.0,4.83,7.19,3.55
56.0,4.77,5.15,2.67
58.0,4.08,2.10,3.20
60.0,16.94,14.26,3.01
62.0,6.42,2.10,7.98
64.0,6.25,4.08,9.61
66.0,7.27,4.58,9.36
68.0,6.07,15.17,9.36
70.0,6.09,4.64,24.63
72.0,6.28,6.10,23.60
74.0,3.05,6.54,9.48
76.0,4.41,5.90,10.54
78.0,23.79,5.81,11.38
80.0,22.92,4.86,14.15
82.0,22.96,17.67,11.88
84.0,26.26,19.08,11.22
86.0,21.49,19.55,10.61
88.0,10.57,19.48,9.43
90.0,2.10,20.36,24.32
92.0,2.10,23.52,26.11
94.0,2.10,2.10,26.98
96.0,2.10,2.10,9.32
98.0,2.10,2.10,23.80
100.0,2.10,2.10,15.22
102.0,2.10,2.10,32.29
104.0,2.10,2.10,31.54
106.0,2.10,2.10,18.78
108.0,2.10,2.10,32.26
110.0,10.10,10.10,10.10
112.0,10.10,10.10,10.10
114.0,10.10,10.10,10.10
116.0,19.13,21.11,10.10
118.0,23.72,21.44,10.10
120.0,23.46,19.70,10.10
122.0,22.06,16.98,10.10
124.0,20.04,15.21,10.10
126.0,17.54,10.10,19.69
128.0,10.10,10.10,24.16
130.0,10.10,10.10,24.24
132.0,15.92,10.10,22.21
134.0,14.53,10.10,19.75
136.0,10.10,10.10,18.28
138.0,10.10,10.10,15.92
140.0,10.10,10.10,10.10
142.0,10.10,10.10,10.10
144.0,16.20,13.50,10.10
146.0,10.10,13.08,10.10
148.0,14.46,13.18,10.10
150.0,11.04,11.97,10.10
152.0,13.26,10.10,15.92
154.0,12.44,10.10,12.83
156.0,10.10,10.10,13.09
158.0,10.10,10.10,12.10
160.0,10.10,10.10,10.10
162.0,10.10,10.10,10.10
164.0,10.10,10.10,10.10
166.0,10.10,10.10,10.10
168.0,10.10,10.10,10.10
170.0,10.10,10.10,10.10
172.0,10.10,10.10,10.10
174.0,10.10,10.10,10.10
176.0,10.10,10.10,10.10
178.0,10.10,10.10,10.10
180.0,10.10,10.10,10.10
182.0,10.10,10.10,10.10
184.0,10.10,10.10,10.10
186.0,10.10,10.10,10.10
188.0,10.10,10.10,10.10
190.0,10.10,10.10,10.10
192.0,10.10,10.10,10.10
194.0,10.10,10.10,10.10
196.0,10.10,10.10,14.26
198.0,10.10,10.10,10.10
200.0,0.60,0.60,0.60
202.0,0.60,0.60,0.60
204.0,0.60,0.60,0.60
206.0,0.60,0.60,0.60
208.0,0.60,0.60,0.60
210.0,0.60,0.60,0.60
212.0,0.60,0.60,0.60
214.0,0.60,0.60,0.60
216.0,0.60,0.60,0.60
218.0,0.60,0.60,0.60
220.0,0.60,0.60,0.60
222.0,0.60,0.60,0.60
224.0,0.60,0.60,0.66
226.0,0.60,0.60,0.60
228.0,0.60,0.60,0.60
230.0,0.60,0.60,0.60
232.0,0.60,0.60,0.60
234.0,0.60,0.60,0.60
236.0,0.60,0.60,0.60
238.0,0.60,0.60,0.60
240.0,0.60,0.60,0.60
242.0,0.60,0.60,0.60
244.0,0.60,0.60,0.60
246.0,0.60,0.60,0.60
248.0,0.60,0.60,0.60
250.0,0.60,0.60,0.60
252.0,0.60,0.60,0.60
254.0,0.60,0.60,1.49
256.0,0.60,1.92,2.70
258.0,1.03,3.19,2.32
260.0,2.69,2.56,4.13
262.0,2.58,2.49,4.29
264.0,2.46,3.37,6.61
266.0,1.09,4.28,8.19
268.0,3.85,5.41,8.71
270.0,3.57,4.62,8.68
272.0,3.33,4.84,12.39
274.0,3.82,9.33,9.60
276.0,5.42,9.81,9.20
278.0,6.40,11.53,8.76
280.0,7.84,12.86,9.83
282.0,8.62,13.06,8.67
284.0,8.09,12.39,7.09
286.0,12.56,12.51,6.11
288.0,9.81,14.07,2.73
290.0,9.23,14.56,1.60
292.0,8.65,13.86,1.60
294.0,8.75,12.88,4.99
296.0,8.14,12.10,4.02
298.0,7.29,12.73,17.24
300.0,6.26,12.49,1.60
302.0,4.30,11.45,1.60
304.0,1.60,17.14,1.60
306.0,1.60,9.60,1.60
308.0,15.81,8.14,1.60
310.0,1.60,2.94,1.60
312.0,1.60,1.60,1.60
314.0,1.60,1.60,1.60
316.0,1.60,1.60,1.60
318.0,1.60,1.60,1.60
320.0,1.60,1.60,1.60
322.0,1.60,1.60,1.60
324.0,1.60,1.60,1.60
326.0,1.60,1.60,1.60
328.0,1.60,1.60,1.60
330.0,1.60,1.60,1.60
332.0,1.60,1.60,1.60
334.0,1.60,1.60,1.60
336.0,1.60,1.60,1.60
338.0,1.60,1.60,1.60
340.0,1.60,1.60,1.60
342.0,1.60,2.94,1.60
344.0,1.60,1.60,1.60
346.0,1.60,1.60,1.60
348.0,1.60,1.60,7.08
350.0,1.60,1.60,10.08
352.0,1.60,1.60,10.68
354.0,1.60,1.60,10.63
356.0,5.16,1.60,10.48
358.0,7.00,1.60,9.49
